clean,total,prop,prop.nice,country
All,12,0.0447761194029851,4.5%,All
Australia,7,0.0261194029850746,2.6%,Australia
Canada,1,0.00373134328358209,0.4%,Canada
European Union,14,0.0522388059701493,5.2%,European Union
France,4,0.0149253731343284,1.5%,France
Germany,2,0.00746268656716418,0.7%,Germany
Italy,7,0.0261194029850746,2.6%,Italy
Netherlands,6,0.0223880597014925,2.2%,Netherlands
None,16,0.0597014925373134,6.0%,None
Norway,6,0.0223880597014925,2.2%,Norway
Sweden,6,0.0223880597014925,2.2%,Sweden
Switzerland,8,0.0298507462686567,3.0%,Switzerland
United Kingdom,7,0.0261194029850746,2.6%,United Kingdom
United States,188,0.701492537313433,70.1%,United States
