"Year","Report URL","Remarks URL","Secretary","Date","Citation","Notes"
2001,"http://www.state.gov/j/tip/rls/tiprpt/2001/","http://2001-2009.state.gov/g/tip/rls/rm/2001/4071.htm","Powell","2001-07-12","“…in partnership with a determined NGO community…”",
2002,"http://www.state.gov/j/tip/rls/tiprpt/2002/","http://2001-2009.state.gov/secretary/former/powell/remarks/2002/10748.htm","Powell","2002-06-05","“We welcome and encourage the vital sharing of information by other countries, nongovernmental organizations, and individuals”",
2003,"http://www.state.gov/j/tip/rls/tiprpt/2003/","http://2001-2009.state.gov/secretary/former/powell/remarks/2003/21458.htm","Powell","2003-06-11","“In compiling our report, our embassies solicited information from their host countries, nongovernmental organizations and journalists”","No direct mention or citation of NGO efforts; Connected directly with terrorism; John Miller, director of the Office to Monitor and Combat Terrorism speaks"
2004,"http://www.state.gov/j/tip/rls/tiprpt/2004/","http://2001-2009.state.gov/secretary/former/powell/remarks/33525.htm","Powell","2004-06-14","Special guests","NGO leaders invited as special guests, did not speak"
2005,"http://www.state.gov/j/tip/rls/tiprpt/2005/","http://2001-2009.state.gov/secretary/rm/2005/47193.htm","Rice","2005-06-03","“Concerned citizens, students, faith-based organizations, feminists and other nongovernmental groups are doing courageous and compassionate work to end this trade in human degradation”",
2006,"http://www.state.gov/j/tip/rls/tiprpt/2006/","http://2001-2009.state.gov/secretary/rm/2006/67551.htm","Rice","2006-06-05","None","No mention of NGOs; all about government efforts – but John Miller mentions new section in TIP report about heroes, which includes civil society"
2007,"http://www.state.gov/j/tip/rls/tiprpt/2007/","http://2001-2009.state.gov/secretary/rm/2007/06/86323.htm","Rice","2007-06-12","None","No mention of NGOs; but Ambassador Lagon told NGO hero stories"
2008,"http://www.state.gov/j/tip/rls/tiprpt/2008/","http://2001-2009.state.gov/secretary/rm/2008/06/105561.htm","Rice","2008-06-04","None","No mention of NGOs; but Ambassador Lagon told NGO hero stories"
2009,"http://www.state.gov/j/tip/rls/tiprpt/2009/","http://www.state.gov/secretary/20092013clinton/rm/2009a/06/124872.htm","Clinton","2009-06-16","Special guests","Two NGO guests speak"
2010,"http://www.state.gov/j/tip/rls/tiprpt/2010/","http://www.state.gov/secretary/20092013clinton/rm/2010/06/143113.htm","Clinton","2010-06-14","Special guests; “as well as supporting 38 domestic task forces that bring state and local authorities together with NGOs like many represented in this room”","NGO guests speak"
2011,"http://www.state.gov/j/tip/rls/tiprpt/2011/","http://www.state.gov/secretary/20092013clinton/rm/2011/06/167156.htm","Clinton","2011-06-27","“many of you from the NGO community that have been on the frontlines standing up for millions of victims”; “In partnership with the NGO community, we have to develop new mechanisms for shielding potential victims and bringing more perpetrators to justice”","Recognition of heroes"
2012,"http://www.state.gov/j/tip/rls/tiprpt/2012/","http://www.state.gov/secretary/20092013clinton/rm/2012/06/193368.htm","Clinton","2012-06-19","“And they were there in Kolkata, working with organizations, NGOs, and the faith community, to do their part.”","Special guests"
2013,"http://www.state.gov/j/tip/rls/tiprpt/2013/","http://www.state.gov/secretary/remarks/2013/06/210911.htm","Kerry","2013-06-19","“I want to thank you, all of you, who are partners and stakeholders from civil society who are here from government, from the private sector. You are literally what keeps this effort moving forward, and you’re making a difference for the victims of this crime.”","TIP heroes again"
2014,"http://www.state.gov/j/tip/rls/tiprpt/2014/","http://www.state.gov/secretary/remarks/2014/06/228083.htm","Kerry","2014-06-20","“This is an assembly of people who have come here out of concern, a group of advocates, many of you part of law enforcement, many of you members of NGOs, advocacy groups, human rights activists – all of you deeply concerned.”","TIP heroes again"
2015,"http://www.state.gov/j/tip/rls/tiprpt/2015/","http://www.state.gov/secretary/remarks/2015/07/245298.htm","Kerry","2015-06-27","“There are leaders from civil society here, and they are, all of them, bolstering the networks that are being built around the world to try to fight back, increasingly creating sophisticated strategies, and that’s the only way we’re going to succeed in this battle.”","TIP heroes again"
